feature,importance
text_218,0.0031784985
text_392,0.0029923168
text_31,0.0029175074
text_395,0.002907395
text_738,0.0028519381
text_341,0.0027112635
text_104,0.0026941288
text_497,0.002684888
text_49,0.0026593192
text_6,0.0026384539
text_131,0.0025806243
text_702,0.002517608
text_736,0.0024325876
text_517,0.0023921619
text_469,0.0023805355
text_527,0.0023444728
text_196,0.002333395
text_551,0.0022721388
text_269,0.0022282375
text_676,0.0021683008
text_221,0.0021243175
text_646,0.0021046782
text_320,0.0021039327
text_490,0.0020981205
text_432,0.0020508775
text_243,0.0020235642
text_475,0.002003982
text_643,0.0020035848
text_617,0.0019521964
text_731,0.0019106048
text_533,0.001900972
text_727,0.0018965357
text_244,0.0018921553
text_757,0.0018903886
text_60,0.0018890221
text_46,0.0018772426
text_389,0.0018515219
text_396,0.001849362
text_34,0.0018356966
text_449,0.0018110152
text_447,0.0017949556
text_598,0.0017926117
text_228,0.001792581
text_756,0.0017652591
text_376,0.0017637669
text_133,0.0017518662
text_626,0.0017408002
text_356,0.0017243697
text_765,0.0017207757
text_236,0.0016990105
text_182,0.0016963792
text_433,0.0016912111
text_495,0.001687196
text_506,0.0016684855
text_636,0.0016651875
text_15,0.0016528115
text_474,0.0016516994
text_400,0.001649799
text_445,0.00164738
text_184,0.001646151
text_193,0.0016369795
text_273,0.0016340901
text_458,0.0016285282
text_424,0.0016267279
text_158,0.0016110546
text_437,0.0015902168
text_119,0.0015847731
text_656,0.001559283
text_62,0.001552149
text_625,0.0015464245
text_322,0.0015382097
text_441,0.0015332518
text_407,0.0015302126
text_353,0.0015059989
text_675,0.0015055566
text_136,0.0015053947
text_285,0.0015037799
text_426,0.0014933664
text_408,0.0014928759
text_429,0.0014847969
text_631,0.0014839862
text_466,0.0014816324
text_694,0.001468265
text_735,0.0014618107
text_35,0.0014510122
text_137,0.001442474
text_722,0.0014351966
text_334,0.0014347649
text_102,0.0014232926
text_93,0.0014207867
text_270,0.0014176231
text_605,0.0014089943
text_139,0.0013972349
text_701,0.0013967647
text_170,0.0013924552
text_695,0.001388597
text_175,0.001387628
text_612,0.0013864054
text_74,0.0013725094
text_418,0.0013691845
text_114,0.001369032
text_553,0.0013682132
text_47,0.0013577628
text_292,0.00134657
text_719,0.001341384
text_340,0.0013264356
text_680,0.0013080648
text_708,0.0013056535
text_622,0.0013024138
text_32,0.001296532
text_635,0.0012948005
text_664,0.0012927386
text_496,0.0012824851
text_160,0.0012805904
text_685,0.0012778644
text_239,0.0012565955
text_337,0.0012513659
text_536,0.001236518
text_637,0.0012348103
text_484,0.0012337083
text_153,0.0012302252
text_596,0.0012247408
text_595,0.0012228863
text_640,0.00122275
text_187,0.0012225166
text_714,0.001221195
text_518,0.0012177677
text_141,0.0012174037
text_758,0.0012008077
text_106,0.0012007366
text_246,0.0011949551
text_9,0.0011888642
text_11,0.0011856201
text_480,0.001184
text_698,0.001176988
text_521,0.0011624179
text_235,0.0011621069
text_24,0.0011601934
text_591,0.0011593171
text_208,0.001159308
text_307,0.0011549473
text_513,0.0011525226
text_14,0.0011494083
text_699,0.0011492035
text_647,0.0011462307
text_94,0.0011450836
text_87,0.0011412811
text_545,0.001141111
text_582,0.0011408534
text_250,0.001129255
text_603,0.001119792
text_540,0.0011133899
text_245,0.0011128506
text_512,0.0011108315
text_223,0.0011081363
text_332,0.0011076779
text_649,0.0011071062
text_365,0.0011058879
text_406,0.0011047176
text_425,0.0011020859
text_229,0.0011019222
text_524,0.0011000942
text_726,0.0010981907
text_662,0.0010973496
text_633,0.0010882115
text_129,0.0010846871
text_611,0.0010834178
text_554,0.0010763779
text_317,0.0010699095
text_13,0.0010668086
text_123,0.0010654659
text_318,0.0010605974
text_327,0.0010563127
text_556,0.0010547142
text_150,0.0010469452
text_589,0.0010450962
text_570,0.0010436524
text_438,0.0010421864
text_679,0.0010399849
text_619,0.0010380947
text_486,0.0010369219
text_331,0.0010324505
text_178,0.0010309147
text_276,0.0010281238
text_578,0.0010274474
text_741,0.0010248591
text_299,0.001021808
text_665,0.0010174555
text_130,0.0010158547
text_594,0.0010094073
text_1,0.0010087611
text_382,0.0010053519
text_57,0.0010045944
text_471,0.001002138
text_272,0.0010016684
text_145,0.0010001122
text_575,0.0009796036
text_319,0.000972042
text_264,0.0009669324
text_238,0.00096336
text_660,0.00096329086
text_226,0.00096288125
text_394,0.00096123177
text_76,0.0009603411
text_670,0.0009599
text_682,0.00095509377
text_36,0.0009544128
text_125,0.0009505413
text_77,0.0009475963
text_672,0.00094579963
text_347,0.0009394418
text_222,0.00093652366
text_168,0.0009341926
text_267,0.0009304875
text_189,0.00093028997
text_661,0.00092644803
text_586,0.000926327
text_349,0.0009240434
text_431,0.00092218036
text_630,0.0009218361
text_151,0.00091238855
text_421,0.00090563885
text_227,0.0009032822
text_629,0.0009023256
text_763,0.0009016491
text_548,0.0009013411
text_754,0.0008970747
text_112,0.00089696597
text_315,0.0008934465
text_369,0.0008911764
text_354,0.0008872014
text_674,0.00088367244
text_326,0.0008836143
text_107,0.0008824509
text_122,0.00088219333
text_443,0.0008785867
text_287,0.00087230507
text_450,0.00086975854
text_532,0.000868213
text_483,0.00086233445
text_755,0.0008557061
text_44,0.00085532625
text_295,0.00085384824
text_733,0.00084862777
text_162,0.0008456127
text_7,0.0008387343
text_248,0.00083804043
text_470,0.0008370064
text_725,0.0008363291
text_359,0.0008349071
text_363,0.0008305762
text_165,0.00082775357
text_748,0.0008276546
text_634,0.00082609564
text_20,0.0008239525
text_666,0.00082370796
text_263,0.0008198501
text_200,0.00081843446
text_204,0.0008163202
text_157,0.0008153507
text_573,0.00081322517
text_542,0.00081307784
text_294,0.00081053603
text_64,0.00081031665
text_752,0.00080850173
text_71,0.00080761244
text_717,0.00080713315
text_183,0.00080673903
text_56,0.00080654834
text_364,0.0008006604
text_520,0.00079864275
text_525,0.0007975108
text_342,0.0007906031
text_522,0.00078918325
text_271,0.0007819247
text_502,0.00077823433
text_237,0.00077813736
text_207,0.0007717725
text_693,0.00076874375
text_25,0.0007671974
text_427,0.00076541543
text_618,0.000765323
text_72,0.0007616413
text_180,0.0007590395
text_648,0.00075658696
text_451,0.00075324124
text_651,0.00075012236
text_372,0.00074790535
text_659,0.0007469436
text_26,0.00074543495
text_535,0.00074298657
text_346,0.00074194616
text_240,0.0007400473
text_531,0.0007353122
text_344,0.00073371676
text_100,0.00073246163
text_375,0.00073122635
text_23,0.00072848384
text_5,0.0007274589
text_339,0.0007240152
text_80,0.000721521
text_211,0.000719912
text_330,0.0007194375
text_381,0.00071930286
text_498,0.00071789534
text_286,0.0007168036
text_209,0.00071285735
text_297,0.00071048114
text_414,0.0007096238
text_761,0.000707691
text_89,0.0007047048
text_247,0.0007046964
text_323,0.000703157
text_711,0.0007005001
text_206,0.00069938635
text_281,0.0006974715
text_599,0.00069176895
text_300,0.0006914543
text_493,0.00068741763
text_562,0.0006873621
text_688,0.0006848079
text_216,0.0006821953
text_191,0.0006800093
text_203,0.0006772364
text_68,0.00067682756
text_210,0.00067617896
text_167,0.0006750722
text_613,0.0006745154
text_329,0.0006734939
text_118,0.00067243475
text_105,0.0006716485
text_305,0.00066785293
text_199,0.00066645537
text_706,0.000664282
text_607,0.00066331716
text_176,0.0006615429
text_367,0.00065843796
text_111,0.00065734854
text_616,0.00065590756
text_8,0.0006557966
text_53,0.0006554686
text_45,0.00065455027
text_737,0.0006543389
text_288,0.0006541435
text_585,0.0006518349
text_503,0.00064516783
text_350,0.0006445376
text_590,0.00064399967
text_205,0.0006407781
text_51,0.0006401694
text_22,0.0006384087
text_516,0.0006373199
text_452,0.0006363892
text_494,0.00063619367
text_743,0.00063602184
text_214,0.0006350694
text_481,0.000632847
text_457,0.0006320427
text_164,0.000631987
text_110,0.0006280775
text_316,0.0006264944
text_487,0.00062417425
text_219,0.0006233979
text_705,0.00061995327
text_215,0.0006195056
text_580,0.0006190696
text_420,0.000616589
text_38,0.00061509485
text_371,0.0006133021
text_385,0.00061110104
text_4,0.0006095307
text_559,0.0006093924
text_43,0.0006087123
text_92,0.0006066933
text_703,0.00060489844
text_368,0.00060376007
text_460,0.0006037594
text_265,0.0006012357
text_380,0.000597776
text_374,0.0005973156
text_390,0.0005932381
text_306,0.0005889351
text_117,0.0005883687
text_50,0.0005851724
text_597,0.00058017427
text_482,0.0005795738
text_442,0.00057598617
text_116,0.0005755838
text_41,0.0005754165
text_132,0.0005740723
text_234,0.00057388714
text_563,0.00057135965
text_419,0.00057119544
text_96,0.0005701925
text_18,0.0005658433
text_149,0.0005650615
text_397,0.0005623939
text_386,0.0005590165
text_507,0.00055834703
text_59,0.0005581124
text_194,0.00055398606
text_671,0.00055078365
text_301,0.00055038725
text_179,0.00055028277
text_39,0.0005497792
text_42,0.00054848415
text_83,0.00054692465
text_311,0.0005456984
text_677,0.00054292113
text_30,0.0005417922
text_673,0.00053852604
text_275,0.00053843134
text_751,0.00053502596
text_749,0.00053493254
text_692,0.0005328355
text_220,0.0005318098
text_555,0.0005312401
text_370,0.00052660226
text_405,0.00052627997
text_766,0.0005257182
text_728,0.00052548654
text_198,0.0005240225
text_587,0.0005197999
text_173,0.0005178384
text_730,0.0005174308
text_279,0.00051479635
text_523,0.00051445916
text_343,0.0005137481
text_576,0.000511992
text_627,0.000511637
text_95,0.0005112915
text_84,0.0005112696
text_465,0.0005090708
text_620,0.0005090285
text_140,0.00050534686
text_415,0.0005048292
text_762,0.0005047399
text_526,0.00050424226
text_463,0.000503388
text_687,0.0005031916
text_88,0.0005028558
text_241,0.00050151884
text_28,0.0004994387
text_166,0.00049928436
text_148,0.0004965877
text_159,0.00049521937
text_759,0.0004941676
text_3,0.0004934514
text_428,0.0004932804
text_569,0.00048930605
text_588,0.0004873724
text_291,0.0004847069
text_724,0.0004835315
text_434,0.00048283086
text_610,0.00048243598
text_142,0.0004820269
text_488,0.00048184555
text_124,0.00048147741
text_262,0.00048065992
text_568,0.0004806537
text_225,0.00047961442
text_201,0.00047828132
text_592,0.00047799046
text_593,0.0004777637
text_155,0.00047637508
text_476,0.00047360707
text_509,0.00047121735
text_55,0.00047070638
text_621,0.00046908038
text_266,0.00046622645
text_284,0.00046395912
text_571,0.00046329113
text_710,0.00046316342
text_529,0.00046095785
text_289,0.00045968953
text_712,0.00045811624
text_401,0.00045648363
text_638,0.00045461103
text_91,0.00045439083
text_61,0.00044781796
text_485,0.00044686988
text_310,0.00044222423
text_459,0.00044154358
text_747,0.00044142918
text_404,0.0004401218
text_90,0.00043991162
text_144,0.00043976514
text_560,0.0004394585
text_546,0.0004394258
text_181,0.00043584238
text_655,0.00043494705
text_259,0.00043412668
text_54,0.0004340367
text_377,0.00043252512
text_417,0.00043127453
text_217,0.00043028823
text_161,0.00042816208
text_732,0.0004280235
text_12,0.00042524113
text_134,0.00042329732
text_510,0.0004203255
text_734,0.000419569
text_658,0.00041950203
text_539,0.00041790775
text_309,0.00041787096
text_534,0.00041663775
text_456,0.0004139408
text_552,0.0004132583
text_416,0.00041256926
text_115,0.00041224773
text_387,0.00041213984
text_52,0.0004103399
text_321,0.00040687187
text_455,0.0004064608
text_478,0.00040218764
text_190,0.00040215006
text_172,0.00040115853
text_628,0.00040032764
text_477,0.0003903676
text_185,0.00038928218
text_58,0.00038658612
text_543,0.00038496027
text_17,0.00038199467
text_691,0.00038183873
text_715,0.0003810004
text_632,0.00037963066
text_40,0.00037891738
text_402,0.00037869764
text_324,0.00037703657
text_444,0.0003737367
text_561,0.00037346382
text_312,0.0003727469
text_504,0.00036858034
text_152,0.00036662866
text_623,0.00036495438
text_435,0.0003624871
text_303,0.00035812022
text_537,0.00035728322
text_169,0.00035429045
text_461,0.00035368188
text_606,0.0003520847
text_19,0.00034966055
text_500,0.00034958156
text_721,0.00034839567
text_103,0.0003478401
text_683,0.0003474767
text_413,0.00034607234
text_314,0.00034298922
text_641,0.00034253407
text_729,0.0003424402
text_249,0.0003407716
text_351,0.000340581
text_213,0.00034051063
text_242,0.00033967698
text_65,0.0003371785
text_583,0.0003363765
text_515,0.00033534656
text_313,0.00033307594
text_678,0.00033052886
text_174,0.00032911944
text_360,0.00032837022
text_171,0.00032820314
text_251,0.00032796405
text_753,0.00032723142
text_624,0.00032603322
text_258,0.00032577076
text_101,0.00032576764
text_126,0.00032502107
text_707,0.00032457119
text_16,0.000322902
text_128,0.00032287466
text_430,0.0003221731
text_511,0.00032120806
text_547,0.00032085786
text_697,0.00031914047
text_600,0.00031777722
text_304,0.00031650855
text_409,0.00031559155
text_514,0.00031318323
text_446,0.00031220913
text_355,0.00031035856
text_252,0.00031024998
text_2,0.00030462974
text_33,0.00030417586
text_63,0.0003033327
text_274,0.0003031267
text_163,0.00030218146
text_652,0.0003013076
text_121,0.00030129967
text_566,0.00030062566
text_232,0.00030041763
text_713,0.00030037324
text_143,0.00029978366
text_739,0.0002996298
text_261,0.00029915213
text_255,0.000298907
text_21,0.00029808225
text_454,0.0002965671
text_422,0.0002963062
text_581,0.0002962963
text_439,0.00029385256
text_491,0.00029357558
text_684,0.00029152748
text_750,0.00029066426
text_639,0.00028993894
text_720,0.00028825266
text_290,0.00028792061
text_538,0.00028791273
text_472,0.0002858123
text_120,0.0002856896
text_325,0.0002856483
text_689,0.00028551265
text_764,0.0002850357
text_686,0.00028280413
text_296,0.00028099024
text_70,0.00028062877
text_357,0.00027957498
text_335,0.00027846574
text_501,0.0002776374
text_378,0.00027705904
text_298,0.00027694565
text_328,0.00027664707
text_453,0.00027592908
text_604,0.00027556455
text_657,0.00027545315
text_78,0.00027422735
text_467,0.00027151828
text_338,0.00026714237
text_550,0.00026656734
text_572,0.0002664903
text_653,0.0002653451
text_696,0.00026217077
text_75,0.0002621066
text_230,0.00026130275
text_345,0.00025918003
text_202,0.00025740376
text_86,0.00025679008
text_746,0.0002549341
text_67,0.00025485226
text_197,0.00025456148
text_293,0.00025393174
text_519,0.0002534106
text_113,0.00025298676
text_642,0.00025208708
text_361,0.00025138215
text_479,0.00025069824
text_278,0.00024974844
text_663,0.00024886415
text_384,0.00024876118
text_231,0.0002477504
text_530,0.0002473106
text_188,0.0002472801
text_352,0.00024498676
text_709,0.00024436545
text_97,0.00024289658
text_156,0.00024267723
text_464,0.00024102165
text_557,0.000240936
text_383,0.00023925884
text_79,0.00023686414
text_224,0.00023639768
text_10,0.00023557243
text_373,0.00023304245
text_668,0.00023302373
text_558,0.00023274346
text_681,0.00023193324
text_177,0.00023091657
text_700,0.0002305533
text_333,0.00022871736
text_667,0.00022857828
text_499,0.00022639836
text_195,0.0002261846
text_723,0.00022315656
text_577,0.00022141544
text_399,0.00022113566
text_398,0.00021887755
text_579,0.00021882581
text_440,0.00021686537
text_567,0.0002153197
text_192,0.00021508327
text_654,0.00021444006
text_410,0.00021359761
text_283,0.00021242537
text_742,0.00021240703
text_564,0.0002112402
text_468,0.00021091694
text_138,0.00021088682
text_767,0.00021007075
text_147,0.0002092512
text_308,0.00020827679
text_489,0.00020561574
text_268,0.000204773
text_366,0.00020455367
text_260,0.00020418214
text_505,0.0002011939
text_302,0.0001978682
text_584,0.00019740818
text_253,0.00019594835
text_391,0.00018812515
text_669,0.0001861914
text_99,0.00018550536
text_411,0.00018342033
text_745,0.00018263153
text_348,0.00018181409
text_48,0.00018043796
text_690,0.00017950682
text_740,0.00017892415
text_423,0.00017828461
text_650,0.00017822899
text_448,0.00017555806
text_109,0.0001730441
text_388,0.00017197702
text_565,0.00016911057
text_601,0.0001672431
text_108,0.00016631083
text_233,0.00016516207
text_716,0.00016507463
text_154,0.00016450815
text_212,0.00016150576
text_436,0.00015989531
text_29,0.00015932253
text_82,0.00015765778
text_277,0.00015717043
text_615,0.00015683741
text_608,0.00015607606
text_718,0.00015406939
text_336,0.00015100559
text_508,0.0001506813
text_393,0.00014416041
