feature,importance
text_400,0.019624624
text_235,0.019618342
text_533,0.019227361
text_646,0.01856562
text_517,0.018425677
text_104,0.018312983
text_426,0.018217588
text_337,0.017604431
text_714,0.017160924
text_158,0.017080221
text_735,0.017001037
text_497,0.016597526
text_6,0.016310515
text_35,0.016087452
text_765,0.015771793
text_236,0.015623776
text_15,0.0153163085
text_60,0.01520348
text_407,0.014828833
text_49,0.014757227
text_736,0.014724677
text_77,0.014550461
text_633,0.014549931
text_513,0.014510816
text_679,0.014435823
text_570,0.014252395
text_643,0.013723343
text_139,0.013634104
text_545,0.013579728
text_395,0.013498057
text_119,0.013292903
text_441,0.013211934
text_129,0.0132006
text_474,0.013192814
text_349,0.013136128
text_527,0.0129669355
text_307,0.01284888
text_137,0.012821739
text_229,0.012739121
text_622,0.012693933
text_656,0.01263567
text_265,0.012618361
text_757,0.0125768
text_93,0.01253994
text_218,0.012509579
text_238,0.012479013
text_326,0.012434812
text_250,0.012362412
text_605,0.012359739
text_618,0.012318434
text_651,0.01226464
text_276,0.012259313
text_726,0.012249317
text_334,0.012216052
text_228,0.012167886
text_150,0.012129134
text_239,0.012113838
text_34,0.012052044
text_761,0.012051465
text_664,0.011963714
text_74,0.011893519
text_180,0.011799989
text_208,0.011773055
text_460,0.011753879
text_626,0.011703665
text_695,0.011635278
text_427,0.011603799
text_53,0.011601066
text_297,0.011555443
text_445,0.011469773
text_327,0.011351413
text_524,0.011300034
text_367,0.011284982
text_447,0.011251639
text_32,0.011210019
text_131,0.011069619
text_408,0.0108935395
text_62,0.010874299
text_71,0.010850952
text_26,0.010805583
text_376,0.01075893
text_191,0.010730535
text_525,0.010708308
text_727,0.010708103
text_247,0.010690464
text_63,0.0106679965
text_428,0.010620021
text_204,0.010592628
text_175,0.0105636455
text_200,0.010399093
text_754,0.010390927
text_46,0.010387666
text_319,0.010374358
text_100,0.010298431
text_443,0.010286942
text_369,0.010234351
text_507,0.010227389
text_9,0.010215947
text_725,0.010172108
text_107,0.010107891
text_23,0.010061125
text_674,0.009964004
text_731,0.009932026
text_502,0.009913371
text_353,0.009887593
text_451,0.009854114
text_675,0.009789359
text_330,0.009743809
text_243,0.009736924
text_44,0.009708812
text_685,0.009708498
text_590,0.009705053
text_182,0.009580469
text_375,0.009559255
text_512,0.009546085
text_1,0.009535636
text_476,0.009523646
text_752,0.0094750235
text_22,0.009429267
text_170,0.009399063
text_719,0.009337113
text_396,0.009324729
text_246,0.009243107
text_206,0.009212073
text_325,0.0092115505
text_96,0.009209395
text_457,0.0091763
text_270,0.009130571
text_629,0.009106186
text_520,0.009092111
text_271,0.00909152
text_176,0.0090816375
text_343,0.009074282
text_630,0.008947212
text_480,0.008946363
text_582,0.008942315
text_189,0.008905671
text_573,0.008869575
text_223,0.008866624
text_578,0.008793803
text_559,0.008773542
text_125,0.008721501
text_316,0.00871511
text_194,0.008674627
text_210,0.008616863
text_168,0.0085982215
text_39,0.008568848
text_749,0.008513534
text_273,0.008466283
text_3,0.008439925
text_160,0.008427401
text_55,0.008411632
text_594,0.008392118
text_503,0.00835909
text_293,0.008345594
text_561,0.0083151795
text_262,0.008159725
text_227,0.008099603
text_475,0.00808516
text_755,0.008050852
text_392,0.008030198
text_133,0.007996565
text_7,0.007992873
text_717,0.007985353
text_648,0.007973373
text_13,0.007946114
text_418,0.007841468
text_124,0.007821662
text_431,0.007814464
text_595,0.007750049
text_722,0.007743993
text_117,0.00774206
text_152,0.007740242
text_637,0.007691828
text_522,0.0076791514
text_354,0.007663869
text_762,0.0076548075
text_285,0.0076278923
text_329,0.0076215933
text_531,0.007615635
text_734,0.007574981
text_305,0.00755635
text_347,0.0075521204
text_463,0.0075396276
text_493,0.007490349
text_413,0.0074878293
text_244,0.007472327
text_389,0.007396198
text_471,0.00739212
text_748,0.0073858616
text_708,0.007351122
text_710,0.007338444
text_306,0.007322404
text_287,0.007289347
text_57,0.007250483
text_141,0.0072495765
text_315,0.007229931
text_103,0.007216632
text_732,0.0072143828
text_76,0.0071943244
text_237,0.0071421852
text_437,0.0071222237
text_320,0.0070917387
text_364,0.007012706
text_331,0.006995696
text_571,0.0069858185
text_214,0.006975462
text_335,0.006972892
text_672,0.006941532
text_676,0.0069384803
text_638,0.0069167796
text_713,0.0069080335
text_406,0.0068799322
text_209,0.0068448726
text_332,0.0068204207
text_112,0.00679606
text_670,0.006792983
text_92,0.0067918715
text_397,0.0067811483
text_286,0.0067752595
text_758,0.0066998354
text_105,0.0066723353
text_147,0.0066598654
text_688,0.0066585937
text_342,0.006620198
text_555,0.006598236
text_368,0.006587125
text_351,0.006564205
text_340,0.006552056
text_341,0.0065211756
text_612,0.0065143676
text_295,0.006509437
text_226,0.0064969743
text_453,0.006461519
text_640,0.00644291
text_205,0.006429649
text_450,0.0064268997
text_20,0.0064159757
text_40,0.0064015114
text_291,0.0063911676
text_532,0.0063881087
text_613,0.006361333
text_314,0.006350383
text_159,0.0063389316
text_196,0.0063351444
text_711,0.0062943613
text_61,0.00622303
text_465,0.006196866
text_240,0.006179654
text_38,0.006172846
text_693,0.0061720316
text_627,0.0061719683
text_284,0.0061426917
text_359,0.006141161
text_255,0.0061198613
text_56,0.0060933763
text_108,0.0060918164
text_743,0.0060819164
text_706,0.0060742954
text_192,0.0060572075
text_390,0.006036387
text_420,0.006012437
text_500,0.0059978412
text_593,0.005989839
text_763,0.0059793144
